id,ano,codigo,ccr
1,2015,8500,UFT.2015(L)8500
2,2015,8501,UFT.2015(L)8501
3,2015,8502,UFT.2015(L)8502
4,2015,8503,UFT.2015(L)8503
5,2015,8504,UFT.2015(L)8504
6,2015,8505,UFT.2015(L)8505
7,2015,8506,UFT.2015(L)8506
8,2015,8507,UFT.2015(L)8507
9,2015,8508,UFT.2015(L)8508
10,2015,8509,UFT.2015(L)8509
11,2015,8510,UFT.2015(L)8510
12,2015,8511,UFT.2015(L)8511
13,2015,8512,UFT.2015(L)8512
14,2015,8513,UFT.2015(L)8513
15,2015,8514,UFT.2015(L)8514
16,2015,8515,UFT.2015(L)8515
17,2015,8516,UFT.2015(L)8516
18,2015,8517,UFT.2015(L)8517
19,2015,8518,UFT.2015(L)8518
20,2015,8519,UFT.2015(L)8519
21,2015,8520,UFT.2015(L)8520
22,2015,8521,UFT.2015(L)8521
23,2015,8522,UFT.2015(L)8522
24,2015,8523,UFT.2015(L)8523
25,2015,8524,UFT.2015(L)8524
26,2015,8525,UFT.2015(L)8525
27,2015,8526,UFT.2015(L)8526
28,2015,8527,UFT.2015(L)8527
29,2015,8528,UFT.2015(L)8528
30,2015,8529,UFT.2015(L)8529
31,2015,8530,UFT.2015(L)8530
32,2015,8531,UFT.2015(L)8531
33,2015,8532,UFT.2015(L)8532
34,2015,8533,UFT.2015(L)8533
35,2015,8534,UFT.2015(L)8534
36,2015,8535,UFT.2015(L)8535
37,2015,8536,UFT.2015(L)8536
38,2015,8537,UFT.2015(L)8537
39,2015,8538,UFT.2015(L)8538
40,2015,8539,UFT.2015(L)8539
41,2015,8540,UFT.2015(L)8540
42,2015,8541,UFT.2015(L)8541
43,2015,8542,UFT.2015(L)8542
44,2015,8543,UFT.2015(L)8543
45,2015,8544,UFT.2015(L)8544
46,2015,8545,UFT.2015(L)8545
47,2015,8546,UFT.2015(L)8546
48,2015,8547,UFT.2015(L)8547
49,2015,8548,UFT.2015(L)8548
50,2015,8549,UFT.2015(L)8549
51,2015,8550,UFT.2015(L)8550
52,2015,8551,UFT.2015(L)8551
53,2015,8552,UFT.2015(L)8552
54,2015,8553,UFT.2015(L)8553
55,2015,8554,UFT.2015(L)8554
56,2015,8555,UFT.2015(L)8555
57,2015,8556,UFT.2015(L)8556
58,2015,8557,UFT.2015(L)8557
59,2015,8558,UFT.2015(L)8558
60,2015,8559,UFT.2015(L)8559
61,2015,8560,UFT.2015(L)8560
62,2015,8561,UFT.2015(L)8561
63,2015,8562,UFT.2015(L)8562
64,2015,8563,UFT.2015(L)8563
65,2015,8564,UFT.2015(L)8564
66,2015,8565,UFT.2015(L)8565
67,2015,8566,UFT.2015(L)8566
68,2015,8567,UFT.2015(L)8567
69,2015,8568,UFT.2015(L)8568
70,2015,8569,UFT.2015(L)8569
71,2015,8570,UFT.2015(L)8570
72,2015,8571,UFT.2015(L)8571
73,2015,8572,UFT.2015(L)8572
74,2015,8573,UFT.2015(L)8573
75,2015,8574,UFT.2015(L)8574
76,2015,8575,UFT.2015(L)8575
77,2015,8576,UFT.2015(L)8576
78,2015,8577,UFT.2015(L)8577
79,2015,8578,UFT.2015(L)8578
80,2015,8579,UFT.2015(L)8579
81,2015,8580,UFT.2015(L)8580
82,2014,6555,UFT.2014(L)6555
83,2014,6817,UFT.2014(L)6817
84,2014,6948,UFT.2014(L)6948
85,2014,6648,UFT.2014(L)6648
86,2014,6650,UFT.2014(L)6650
87,2014,7799,UFT.2014(L)7799
88,2014,7943,UFT.2014(L)7943
89,2014,7945,UFT.2014(L)7945
90,2014,7263,UFT.2014(L)7263
91,2014,7195,UFT.2014(L)7195
92,2014,7389,UFT.2014(L)7389
93,2014,7390,UFT.2014(L)7390
94,2014,7391,UFT.2014(L)7391
95,2014,7392,UFT.2014(L)7392
96,2014,7393,UFT.2014(L)7393
97,2014,7394,UFT.2014(L)7394
98,2014,7802,UFT.2014(L)7802
99,2014,7803,UFT.2014(L)7803
100,2014,7804,UFT.2014(L)7804
101,2014,6556,UFT.2014(L)6556
102,2014,6891,UFT.2014(L)6891
103,2014,7774,UFT.2014(L)7774
104,2014,7777,UFT.2014(L)7777
105,2014,7833,UFT.2014(L)7833
106,2014,7845,UFT.2014(L)7845
107,2014,7271,UFT.2014(L)7271
108,2014,7535,UFT.2014(L)7535
109,2014,7536,UFT.2014(L)7536
110,2014,7537,UFT.2014(L)7537
111,2014,7823,UFT.2014(L)7823
112,2014,7824,UFT.2014(L)7824
113,2014,7825,UFT.2014(L)7825
114,2014,7826,UFT.2014(L)7826
115,2014,7934,UFT.2014(L)7934
116,2014,7935,UFT.2014(L)7935
117,2014,6515,UFT.2014(L)6515
118,2014,6545,UFT.2014(L)6545
119,2014,6809,UFT.2014(L)6809
120,2014,6889,UFT.2014(L)6889
121,2014,6944,UFT.2014(L)6944
122,2014,7779,UFT.2014(L)7779
123,2014,7988,UFT.2014(L)7988
124,2014,7188,UFT.2014(L)7188
125,2014,7538,UFT.2014(L)7538
126,2014,7539,UFT.2014(L)7539
127,2014,7827,UFT.2014(L)7827
128,2014,7847,UFT.2014(L)7847
129,2014,7848,UFT.2014(L)7848
130,2014,7936,UFT.2014(L)7936
131,2014,8023,UFT.2014(L)8023
132,2014,7818,UFT.2014(L)7818
133,2014,7870,UFT.2014(L)7870
134,2014,6716,UFT.2014(L)6716
135,2014,6717,UFT.2014(L)6717
136,2014,6723,UFT.2014(L)6723
137,2014,6888,UFT.2014(L)6888
138,2014,6890,UFT.2014(L)6890
139,2014,6893,UFT.2014(L)6893
140,2014,7052,UFT.2014(L)7052
141,2014,7862,UFT.2014(L)7862
142,2014,7865,UFT.2014(L)7865
143,2014,7031,UFT.2014(L)7031
144,2014,7842,UFT.2014(L)7842
145,2014,7242,UFT.2014(L)7242
146,2014,7358,UFT.2014(L)7358
147,2014,7049,UFT.2014(L)7049
148,2014,7540,UFT.2014(L)7540
149,2014,7541,UFT.2014(L)7541
150,2014,7542,UFT.2014(L)7542
151,2014,7543,UFT.2014(L)7543
152,2014,7546,UFT.2014(L)7546
153,2014,7849,UFT.2014(L)7849
154,2014,7850,UFT.2014(L)7850
155,2014,7937,UFT.2014(L)7937
156,2014,7938,UFT.2014(L)7938
157,2014,6577,UFT.2014(L)6577
158,2014,7769,UFT.2014(L)7769
159,2014,7776,UFT.2014(L)7776
160,2014,6800,UFT.2014(L)6800
161,2014,7156,UFT.2014(L)7156
162,2014,7266,UFT.2014(L)7266
163,2014,7356,UFT.2014(L)7356
164,2014,7547,UFT.2014(L)7547
165,2014,7548,UFT.2014(L)7548
166,2014,7549,UFT.2014(L)7549
167,2014,7939,UFT.2014(L)7939
168,2014,7940,UFT.2014(L)7940
169,2014,8024,UFT.2014(L)8024
170,2014,6576,UFT.2014(L)6576
171,2014,7766,UFT.2014(L)7766
172,2014,7782,UFT.2014(L)7782
173,2014,7946,UFT.2014(L)7946
174,2014,7959,UFT.2014(L)7959
175,2014,7366,UFT.2014(L)7366
176,2014,7196,UFT.2014(L)7196
177,2014,7198,UFT.2014(L)7198
178,2014,7550,UFT.2014(L)7550
179,2014,7551,UFT.2014(L)7551
180,2014,7941,UFT.2014(L)7941
181,2014,6575,UFT.2014(L)6575
182,2014,6725,UFT.2014(L)6725
183,2014,6881,UFT.2014(L)6881
184,2014,7835,UFT.2014(L)7835
185,2014,7836,UFT.2014(L)7836
186,2014,6978,UFT.2014(L)6978
187,2014,7281,UFT.2014(L)7281
188,2014,7363,UFT.2014(L)7363
189,2014,7381,UFT.2014(L)7381
190,2014,6950,UFT.2014(L)6950
191,2014,6957,UFT.2014(L)6957
192,2014,7552,UFT.2014(L)7552
193,2014,7553,UFT.2014(L)7553
194,2014,7554,UFT.2014(L)7554
195,2014,7555,UFT.2014(L)7555
196,2014,7556,UFT.2014(L)7556
197,2014,7557,UFT.2014(L)7557
198,2014,7851,UFT.2014(L)7851
199,2014,7852,UFT.2014(L)7852
200,2014,7853,UFT.2014(L)7853
201,2014,7942,UFT.2014(L)7942
202,2014,7956,UFT.2014(L)7956
203,2014,7957,UFT.2014(L)7957
204,2014,6594,UFT.2014(L)6594
205,2014,7846,UFT.2014(L)7846
206,2014,7989,UFT.2014(L)7989
207,2014,7006,UFT.2014(L)7006
208,2014,7021,UFT.2014(L)7021
209,2014,7189,UFT.2014(L)7189
210,2014,7364,UFT.2014(L)7364
211,2014,7382,UFT.2014(L)7382
212,2014,7558,UFT.2014(L)7558
213,2014,7587,UFT.2014(L)7587
214,2014,7588,UFT.2014(L)7588
215,2014,7854,UFT.2014(L)7854
216,2014,7855,UFT.2014(L)7855
217,2014,7856,UFT.2014(L)7856
218,2014,7857,UFT.2014(L)7857
219,2014,7858,UFT.2014(L)7858
220,2014,7859,UFT.2014(L)7859
221,2014,7958,UFT.2014(L)7958
222,2014,7961,UFT.2014(L)7961
223,2014,6582,UFT.2014(L)6582
224,2014,7844,UFT.2014(L)7844
225,2014,6795,UFT.2014(L)6795
226,2014,6887,UFT.2014(L)6887
227,2014,7053,UFT.2014(L)7053
228,2014,7765,UFT.2014(L)7765
229,2014,7951,UFT.2014(L)7951
230,2014,6996,UFT.2014(L)6996
231,2014,7191,UFT.2014(L)7191
232,2014,7275,UFT.2014(L)7275
233,2014,7589,UFT.2014(L)7589
234,2014,7590,UFT.2014(L)7590
235,2014,7860,UFT.2014(L)7860
236,2014,7861,UFT.2014(L)7861
237,2014,7871,UFT.2014(L)7871
238,2014,7963,UFT.2014(L)7963
239,2014,6584,UFT.2014(L)6584
240,2014,6794,UFT.2014(L)6794
241,2014,7353,UFT.2014(L)7353
242,2014,7719,UFT.2014(L)7719
243,2014,7720,UFT.2014(L)7720
244,2014,7965,UFT.2014(L)7965
245,2014,6585,UFT.2014(L)6585
246,2014,6606,UFT.2014(L)6606
247,2014,6607,UFT.2014(L)6607
248,2014,6737,UFT.2014(L)6737
249,2014,6782,UFT.2014(L)6782
250,2014,6793,UFT.2014(L)6793
251,2014,6796,UFT.2014(L)6796
252,2014,6797,UFT.2014(L)6797
253,2014,6867,UFT.2014(L)6867
254,2014,6990,UFT.2014(L)6990
255,2014,7254,UFT.2014(L)7254
256,2014,7355,UFT.2014(L)7355
257,2014,7365,UFT.2014(L)7365
258,2014,7921,UFT.2014(L)7921
259,2014,7724,UFT.2014(L)7724
260,2014,7725,UFT.2014(L)7725
261,2014,7726,UFT.2014(L)7726
262,2014,7967,UFT.2014(L)7967
263,2014,7969,UFT.2014(L)7969
264,2014,7970,UFT.2014(L)7970
265,2014,7971,UFT.2014(L)7971
266,2014,7972,UFT.2014(L)7972
267,2014,8026,UFT.2014(L)8026
268,2014,6808,UFT.2014(L)6808
269,2014,6568,UFT.2014(L)6568
270,2014,6644,UFT.2014(L)6644
271,2014,6645,UFT.2014(L)6645
272,2014,6705,UFT.2014(L)6705
273,2014,7840,UFT.2014(L)7840
274,2014,6622,UFT.2014(L)6622
275,2014,7192,UFT.2014(L)7192
276,2014,7395,UFT.2014(L)7395
277,2014,7397,UFT.2014(L)7397
278,2014,7398,UFT.2014(L)7398
279,2014,7805,UFT.2014(L)7805
280,2014,7806,UFT.2014(L)7806
281,2014,6595,UFT.2014(L)6595
282,2014,6700,UFT.2014(L)6700
283,2014,6702,UFT.2014(L)6702
284,2014,6746,UFT.2014(L)6746
285,2014,6768,UFT.2014(L)6768
286,2014,6790,UFT.2014(L)6790
287,2014,6792,UFT.2014(L)6792
288,2014,6870,UFT.2014(L)6870
289,2014,7098,UFT.2014(L)7098
290,2014,7153,UFT.2014(L)7153
291,2014,7158,UFT.2014(L)7158
292,2014,7268,UFT.2014(L)7268
293,2014,7729,UFT.2014(L)7729
294,2014,7730,UFT.2014(L)7730
295,2014,7973,UFT.2014(L)7973
296,2014,7974,UFT.2014(L)7974
297,2014,6591,UFT.2014(L)6591
298,2014,6720,UFT.2014(L)6720
299,2014,6745,UFT.2014(L)6745
300,2014,6753,UFT.2014(L)6753
301,2014,7019,UFT.2014(L)7019
302,2014,7249,UFT.2014(L)7249
303,2014,7258,UFT.2014(L)7258
304,2014,7733,UFT.2014(L)7733
305,2014,7734,UFT.2014(L)7734
306,2014,7872,UFT.2014(L)7872
307,2014,7873,UFT.2014(L)7873
308,2014,7876,UFT.2014(L)7876
309,2014,7877,UFT.2014(L)7877
310,2014,7878,UFT.2014(L)7878
311,2014,7977,UFT.2014(L)7977
312,2014,7910,UFT.2014(L)7910
313,2014,6732,UFT.2014(L)6732
314,2014,6754,UFT.2014(L)6754
315,2014,6761,UFT.2014(L)6761
316,2014,6784,UFT.2014(L)6784
317,2014,6872,UFT.2014(L)6872
318,2014,7159,UFT.2014(L)7159
319,2014,7248,UFT.2014(L)7248
320,2014,7272,UFT.2014(L)7272
321,2014,7359,UFT.2014(L)7359
322,2014,7735,UFT.2014(L)7735
323,2014,7737,UFT.2014(L)7737
324,2014,7738,UFT.2014(L)7738
325,2014,7980,UFT.2014(L)7980
326,2014,8027,UFT.2014(L)8027
327,2014,7880,UFT.2014(L)7880
328,2014,7881,UFT.2014(L)7881
329,2014,7882,UFT.2014(L)7882
330,2014,6578,UFT.2014(L)6578
331,2014,6581,UFT.2014(L)6581
332,2014,6706,UFT.2014(L)6706
333,2014,7784,UFT.2014(L)7784
334,2014,6742,UFT.2014(L)6742
335,2014,6837,UFT.2014(L)6837
336,2014,6849,UFT.2014(L)6849
337,2014,7236,UFT.2014(L)7236
338,2014,7384,UFT.2014(L)7384
339,2014,7739,UFT.2014(L)7739
340,2014,7883,UFT.2014(L)7883
341,2014,7887,UFT.2014(L)7887
342,2014,7888,UFT.2014(L)7888
343,2014,7889,UFT.2014(L)7889
344,2014,7982,UFT.2014(L)7982
345,2014,7983,UFT.2014(L)7983
346,2014,7984,UFT.2014(L)7984
347,2014,6571,UFT.2014(L)6571
348,2014,6610,UFT.2014(L)6610
349,2014,6846,UFT.2014(L)6846
350,2014,6986,UFT.2014(L)6986
351,2014,7154,UFT.2014(L)7154
352,2014,7157,UFT.2014(L)7157
353,2014,7240,UFT.2014(L)7240
354,2014,7387,UFT.2014(L)7387
355,2014,7920,UFT.2014(L)7920
356,2014,7954,UFT.2014(L)7954
357,2014,7742,UFT.2014(L)7742
358,2014,7743,UFT.2014(L)7743
359,2014,7744,UFT.2014(L)7744
360,2014,7985,UFT.2014(L)7985
361,2014,7987,UFT.2014(L)7987
362,2014,6982,UFT.2014(L)6982
363,2014,6588,UFT.2014(L)6588
364,2014,7949,UFT.2014(L)7949
365,2014,6608,UFT.2014(L)6608
366,2014,6609,UFT.2014(L)6609
367,2014,6759,UFT.2014(L)6759
368,2014,7160,UFT.2014(L)7160
369,2014,7383,UFT.2014(L)7383
370,2014,7947,UFT.2014(L)7947
371,2014,7966,UFT.2014(L)7966
372,2014,7747,UFT.2014(L)7747
373,2014,7748,UFT.2014(L)7748
374,2014,7749,UFT.2014(L)7749
375,2014,7750,UFT.2014(L)7750
376,2014,7890,UFT.2014(L)7890
377,2014,7891,UFT.2014(L)7891
378,2014,7892,UFT.2014(L)7892
379,2014,7893,UFT.2014(L)7893
380,2014,7761,UFT.2014(L)7761
381,2014,6615,UFT.2014(L)6615
382,2014,6762,UFT.2014(L)6762
383,2014,7328,UFT.2014(L)7328
384,2014,7333,UFT.2014(L)7333
385,2014,7953,UFT.2014(L)7953
