id,ccr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
133,UFT.2014(L)7870,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
134,UFT.2014(L)6716,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,-,-
135,UFT.2014(L)6717,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,,
136,UFT.2014(L)6723,,+,+,+,-,+,+,-,-,-,+,-,-,+,w,w,-,w,-,+,-,,+,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,-,+,-,-
137,UFT.2014(L)6888,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,-,-,-,-,-,-,+,,,-,-,+,+,-,+,-,-,-,-,+,-,-
138,UFT.2014(L)6890,,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
139,UFT.2014(L)6893,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
140,UFT.2014(L)7052,,+,+,-,-,w,-,-,-,w,-,-,w,+,-,-,w,-,+,-,-,-,+,-,-,-,+,+,+,+,+,-,-,+,+,+,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
141,UFT.2014(L)7862,,-,-,-,-,+,-,-,-,-,-,-,+,-,-,w,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
142,UFT.2014(L)7865,,+,+,+,-,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,,+,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
143,UFT.2014(L)7031,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,+
144,UFT.2014(L)7842,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,,-,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,+,-,+,-,+,-,-
145,UFT.2014(L)7242,,-,+,-,+,+,-,-,-,w,-,+,+,+,-,+,-,-,+,+,w,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
146,UFT.2014(L)7358,,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,-,-,-,+,+,-,w,+,+,-,+,-,+,+,+,-,+,+,-,-,-,+,+,+,+,,,+,+,+,+,+,-,-,-,-,-,+,-,-
147,UFT.2014(L)7049,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
148,UFT.2014(L)7540,,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,w,-,-
149,UFT.2014(L)7541,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
150,UFT.2014(L)7542,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,+,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,+
151,UFT.2014(L)7543,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
152,UFT.2014(L)7546,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,+
153,UFT.2014(L)7849,,+,w,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,-,+,+,+,,,-,-,+,+,-,-,+,-,+,-,+,+,-
154,UFT.2014(L)7850,,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,-,+,+,-,-,-,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,+
155,UFT.2014(L)7937,,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
156,UFT.2014(L)7938,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
157,UFT.2014(L)6577,,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,+,w,-,-,-,-,+,-,-,+,-,+,,,+,-,+,+,-,-,-,-,+,-,+,+,+
158,UFT.2014(L)7769,,-,-,-,+,-,-,-,-,+,-,-,+,+,+,+,+,-,+,+,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,+,-,-,-,+,-,w,+,+
159,UFT.2014(L)7776,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,+,+,-,+
160,UFT.2014(L)6800,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,-,-
161,UFT.2014(L)7156,,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,-
162,UFT.2014(L)7266,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,+,-,-,+,-,+,-,+
163,UFT.2014(L)7356,,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,,+,+,+,+,+,+,,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,-,+,+,-,+
164,UFT.2014(L)7547,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
165,UFT.2014(L)7548,,+,-,+,+,+,+,+,-,-,+,-,-,+,w,-,-,+,,-,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,-,+,-,+,,,-,-,+,+,-,,-,-,,,,,
166,UFT.2014(L)7549,,-,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,-,+,,,-,-,+,+,+,-,-,-,-,-,w,-,-
167,UFT.2014(L)7939,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
168,UFT.2014(L)7940,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,+,-,+,+,+,-,+,+,+,-,-,+,-,+,-,+,-,-,+,+,+,,,+,-,+,+,-,-,-,-,+,+,+,-,-
169,UFT.2014(L)8024,,-,-,-,-,+,-,-,-,-,-,-,,+,-,-,+,-,-,+,+,+,-,+,+,-,+,+,+,+,+,-,-,-,+,-,-,-,-,+,+,+,,,+,+,+,+,+,-,-,-,+,+,+,-,-
170,UFT.2014(L)6576,,-,-,-,,-,-,-,-,-,-,,-,+,-,-,+,-,-,-,+,+,-,,-,-,-,w,+,+,-,w,+,-,-,-,-,-,-,w,+,-,,,+,+,+,+,+,,-,-,,,,,
171,UFT.2014(L)7766,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
172,UFT.2014(L)7782,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,-,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,+,-,+,+,+,+,,,+,+,+,+,-,-,-,+,+,-,+,-,+
173,UFT.2014(L)7946,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,,+,+,-,+,+,-,-,+,,+,-,-,-,-,+,-,-,-,-,-,+,+,,,+,+,+,+,+,-,-,-,+,+,+,-,-
174,UFT.2014(L)7959,,-,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,+,+,-,+,+,-,-,-,+,+,+,-,-,-,+,-,-,-,+,+,+,+,,,+,+,+,+,+,-,-,-,+,+,+,-,-
175,UFT.2014(L)7366,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
176,UFT.2014(L)7196,,-,+,+,-,w,+,-,-,+,+,+,,+,-,-,-,-,-,+,-,-,-,+,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
177,UFT.2014(L)7198,,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,+
178,UFT.2014(L)7550,,-,-,-,-,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
179,UFT.2014(L)7551,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,-,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
180,UFT.2014(L)7941,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
181,UFT.2014(L)6575,,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,+
182,UFT.2014(L)6725,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
183,UFT.2014(L)6881,,+,-,+,-,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,,-,+,+,+,+,+,,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,-
184,UFT.2014(L)7835,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,-,+,+,-,+,+,-,-,+,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
185,UFT.2014(L)7836,,+,-,+,-,+,+,-,-,-,+,-,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,-,+,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,+,+
186,UFT.2014(L)6978,,+,+,+,+,+,+,-,+,-,+,-,-,+,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,+,+,+,-
187,UFT.2014(L)7281,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,w,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
188,UFT.2014(L)7363,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,-,+,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,-,-,+,-,-,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
189,UFT.2014(L)7381,,-,+,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
190,UFT.2014(L)6950,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
191,UFT.2014(L)6957,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,-,+,+,+
192,UFT.2014(L)7552,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,+,-,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
193,UFT.2014(L)7553,,w,-,+,+,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,+,-,+,+,-,+,+,+,+,+,-,-,-,-,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,-
194,UFT.2014(L)7554,,-,-,-,,w,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,w,-,+,-,-,-,-,-,-,-,-,-,-,+,-,,,-,-,+,+,+,-,-,-,-,+,+,-,-
195,UFT.2014(L)7555,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,+,+,+,+,+
196,UFT.2014(L)7556,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
197,UFT.2014(L)7557,,,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,,,,-,-,-,-,,,-,-,+,+,-,,-,-,,,,,
198,UFT.2014(L)7851,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,-,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,-,+
199,UFT.2014(L)7852,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,+
200,UFT.2014(L)7853,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,+
201,UFT.2014(L)7942,,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,+,-,,-,+,+,-,+,+,-,-,+,+,+,+,-,-,-,-,,,,-,+,+,+,,,+,+,+,+,-,,-,-,,,,,
202,UFT.2014(L)7956,,w,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,+,+,+,+,+,+,+,+,-,+,-,-,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
203,UFT.2014(L)7957,,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,-,-,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,+
204,UFT.2014(L)6594,,+,+,+,+,+,+,-,+,+,+,-,+,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,-,-,+,+,+,+,,,-,-,+,+,-,+,+,-,-,-,+,,
205,UFT.2014(L)7846,,-,-,-,,-,-,-,-,+,-,,-,-,-,-,-,-,-,+,-,-,-,,+,-,+,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,,,+,-,+,+,+,,-,-,,,,,
206,UFT.2014(L)7989,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,+
207,UFT.2014(L)7006,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,+
208,UFT.2014(L)7021,,+,w,+,+,+,+,-,-,-,+,-,+,+,-,-,+,+,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,+,+,-,+,,,+,-,+,+,-,-,-,-,-,-,+,,
209,UFT.2014(L)7189,,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,+,-,+,+,+,-,+,+,+,-,w,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,+,+,-,+
210,UFT.2014(L)7364,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,,,,+,-,+,+,-,-,+,-,+,+,+,+,+
211,UFT.2014(L)7382,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
212,UFT.2014(L)7558,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
213,UFT.2014(L)7587,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,w,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,-,-,+,+,+,-
214,UFT.2014(L)7588,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,w,-,-
215,UFT.2014(L)7854,,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,,+,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,-,-
216,UFT.2014(L)7855,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,+,-,-,+,-,-
217,UFT.2014(L)7856,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
218,UFT.2014(L)7857,,-,+,-,w,-,-,-,-,w,-,,-,+,-,w,-,-,-,+,-,-,-,,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,+,-,-,-,+,+,+,-,-
219,UFT.2014(L)7858,,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,+,+,-,+,-,+
220,UFT.2014(L)7859,,-,-,-,-,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,+,-,,,-,-,+,+,-,,-,-,,,,,
221,UFT.2014(L)7958,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,w,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,+,-,+,+,+,+,,,+,+,+,+,-,-,-,+,+,+,+,+,-
222,UFT.2014(L)7961,,-,+,-,-,-,-,-,-,-,-,w,-,+,w,-,-,-,+,w,-,-,,-,-,,w,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
223,UFT.2014(L)6582,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,w,+,-,-,-,-,-,-,-,-,-,-,w,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,+,+
224,UFT.2014(L)7844,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
225,UFT.2014(L)6795,,+,+,+,+,+,+,-,+,+,+,w,+,+,+,+,+,-,+,+,-,+,,+,+,,+,+,-,+,+,+,+,+,+,-,-,-,+,+,+,+,,,-,-,+,+,+,-,+,+,-,-,+,+,+
226,UFT.2014(L)6887,,-,+,-,-,-,-,-,-,-,-,w,-,+,-,-,-,-,+,w,-,-,,-,-,,w,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
227,UFT.2014(L)7053,,-,+,-,-,-,-,-,-,+,w,w,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
228,UFT.2014(L)7765,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,+,-,-,+,+,-,+,-,+,+,+,+,+,+,+,+,-,+,+,+,-,-,-,+,+,+,+,,,-,-,+,+,+,-,+,-,+,+,+,-,+
229,UFT.2014(L)7951,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,w,-,+
230,UFT.2014(L)6996,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,w,+,+,-,-,-,-,-,-,-,-,-,w,-,+,+,,,-,-,+,+,+,-,-,-,-,-,w,-,-
231,UFT.2014(L)7191,,-,+,-,-,-,-,-,-,-,-,-,-,+,w,-,-,-,+,w,-,-,,-,-,,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
232,UFT.2014(L)7275,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,+,-,-,-
233,UFT.2014(L)7589,,+,-,+,+,+,+,+,-,-,+,-,-,+,-,-,-,+,,-,-,+,-,+,+,-,+,+,-,+,+,w,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
234,UFT.2014(L)7590,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
235,UFT.2014(L)7860,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,+,-,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
236,UFT.2014(L)7861,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+,-,+,+,-,+,-,-,+,+,-,-,-,+,-,-,-,+,+,-,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
237,UFT.2014(L)7871,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,-
