id,ccr_codigo,amostra,substrato,cidade,uf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
256,UFT.2014(L)7355,ANA.TAG.001.014,Fruto de Buriti,Taguatinga,TO,,+,-,+,+,+,+,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
257,UFT.2014(L)7365,ANA.TAG.001.014,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,+,+,+,+,+,w,+,+,+,+,+,-,+,+,+,+,+,+,-,-,-,-,+,+,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
258,UFT.2014(L)7921,ANA.TAG.001.015,Fruto de Buriti,Taguatinga,TO,,-,+,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,+,+,+
259,UFT.2014(L)7724,ANA.TAQ.001.029,Fruto de Buriti,Palmas,TO,,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,+,-,-
260,UFT.2014(L)7725,ANA.TAQ.001.029,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,+,+,,,-,-,,,,,,,,,,,
261,UFT.2014(L)7726,ANA.TAQ.001.029,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,-,+,+,-,+,+,-,-,-,-,+,+,+,+,,,+,-,+,+,-,-,+,+,+,+,+,+,-
262,UFT.2014(L)7967,ANA.TAQ.001.030,Fruto de Buriti,Palmas,TO,,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
263,UFT.2014(L)7969,ANA.TAQ.001.030,Fruto de Buriti,Palmas,TO,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,+,-,-,+,w,-,-
264,UFT.2014(L)7970,ANA.TAQ.001.030,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
265,UFT.2014(L)7971,ANA.TAQ.001.030,Fruto de Buriti,Palmas,TO,,-,-,-,,+,-,-,-,-,-,,-,+,+,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,+,-,+,+,+,,+,+,,,,,
266,UFT.2014(L)7972,ANA.TAQ.001.030,Fruto de Buriti,Palmas,TO,,-,+,-,-,-,-,-,-,-,-,,-,+,-,-,-,-,-,+,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
267,UFT.2014(L)8026,ANA.TAQ.001.031,Fruto de Buriti,Palmas,TO,,+,w,w,,w,-,-,-,-,-,,-,+,w,-,-,-,-,+,-,+,-,,w,-,w,-,+,+,+,-,-,-,-,-,-,-,-,w,-,+,,,+,-,+,+,+,,-,+,,,,,
268,UFT.2014(L)6808,ANA.CAN.001.028,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
269,UFT.2014(L)6568,ANA.CAN.001.029,Fruto de Buriti,Pium,TO,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,
270,UFT.2014(L)6644,ANA.CAN.001.029,Fruto de Buriti,Pium,TO,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,,,-,-,+,+,+,+,-,-,-,-,+,-,-
271,UFT.2014(L)6645,ANA.CAN.001.029,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
272,UFT.2014(L)6705,ANA.CAN.001.029,Fruto de Buriti,Pium,TO,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,w,+,+
273,UFT.2014(L)7840,ANA.CAN.001.029,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,-,+,,-,+,+,+,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,,,,,,,,,,,,,
274,UFT.2014(L)6622,ANA.CAN.001.030,Fruto de Buriti,Pium,TO,,+,+,+,+,+,-,-,-,-,+,-,-,+,+,w,-,-,,+,-,+,w,+,+,-,+,-,-,+,+,-,-,-,-,,,,w,+,+,+,,,-,-,+,+,-,,+,+,,,,,
275,UFT.2014(L)7192,ANA.TAG.001.016,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,+,+,-,+,-,-,+,+,w,-,-,,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,w,+,+,+,,,-,-,+,+,-,,-,+,,,,,
276,UFT.2014(L)7395,ANA.TAQ.001.032,Fruto de Buriti,Palmas,TO,,+,-,+,+,+,-,-,-,-,+,-,-,+,-,-,-,+,,-,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,,,,-,+,-,+,,,-,-,+,+,-,,-,-,,,,,
277,UFT.2014(L)7397,ANA.TAQ.001.032,Fruto de Buriti,Palmas,TO,,w,+,-,-,+,-,,-,-,-,-,-,+,-,-,-,-,,w,-,-,-,-,-,-,-,w,+,+,+,-,-,-,-,,,,-,-,-,-,,,-,-,+,+,-,,-,-,,,,,
278,UFT.2014(L)7398,ANA.TAQ.001.032,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,+,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,+,+,,,-,-,+,+,-,,+,+,,,,,
279,UFT.2014(L)7805,ANA.TAQ.001.033,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,+,+,+,,-,+,+,-,-,-,-,+,w,+,-,,+,-,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,,,+,-,+,+,+,,+,+,,,,,
280,UFT.2014(L)7806,ANA.TAQ.001.033,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,+
281,UFT.2014(L)6595,ANA.CAN.001.031,Fruto de Buriti,Pium,TO,,+,-,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
282,UFT.2014(L)6700,ANA.CAN.001.031,Fruto de Buriti,Pium,TO,,+,+,w,,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,-,+,-,,+,-,+,+,+,+,w,+,+,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,,+,-,,,,,
283,UFT.2014(L)6702,ANA.CAN.001.031,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,w,-,+,+,-,-,+,+,w,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
284,UFT.2014(L)6746,ANA.CAN.001.032,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,,+,+,-,+,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,+,+,-,+,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,-,-,-
285,UFT.2014(L)6768,ANA.CAN.001.032,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
286,UFT.2014(L)6790,ANA.CAN.001.032,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,-,+,+
287,UFT.2014(L)6792,ANA.CAN.001.032,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,-,-
288,UFT.2014(L)6870,ANA.CAN.001.033,Fruto de Buriti,Pium,TO,,+,+,+,,+,+,-,+,-,+,,-,+,+,w,-,+,-,+,w,+,w,,+,-,+,+,-,+,w,+,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,,+,+,,,,,
289,UFT.2014(L)7098,ANA.TAG.001.017,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,+,-
290,UFT.2014(L)7153,ANA.TAG.001.017,Fruto de Buriti,Taguatinga,TO,,-,-,+,+,+,+,-,-,-,+,-,-,+,+,-,-,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-,+,,,-,-,+,+,-,-,-,-,+,+,+,-,-
291,UFT.2014(L)7158,ANA.TAG.001.017,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,w,w,w,,+,-,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,
292,UFT.2014(L)7268,ANA.TAG.001.017,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
293,UFT.2014(L)7729,ANA.TAQ.001.034,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
294,UFT.2014(L)7730,ANA.TAQ.001.034,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,w,-,,+,-,+,+,+,+,+,+,w,+,+,+,-,-,+,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
295,UFT.2014(L)7973,ANA.TAQ.001.035,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,w,-,,+,-,+,w,+,+,+,+,w,w,+,+,-,-,w,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
296,UFT.2014(L)7974,ANA.TAQ.001.035,Fruto de Buriti,Palmas,TO,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,,,,-,+,+,-,,,+,+,+,+,-,,-,+,,,,,
297,UFT.2014(L)6591,ANA.CAN.001.034,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,+,w,+,+,-,-,+,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,+,+,+,-
298,UFT.2014(L)6720,ANA.CAN.001.034,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
299,UFT.2014(L)6745,ANA.CAN.001.035,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,+,-
300,UFT.2014(L)6753,ANA.CAN.001.035,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,+,+,+,+,w,-,-,-,-,-,,,+,+,,,-,-,+,+,-,,+,+,,,,,
301,UFT.2014(L)7019,ANA.CAN.001.036,Fruto de Buriti,Pium,TO,,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
302,UFT.2014(L)7249,ANA.TAG.001.018,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
303,UFT.2014(L)7258,ANA.TAG.001.018,Fruto de Buriti,Taguatinga,TO,,w,+,+,+,+,+,+,-,-,+,-,-,w,+,+,+,+,,+,+,+,+,+,w,-,w,+,-,+,-,+,-,-,-,,,,+,-,-,+,,,+,+,+,+,-,,-,-,,,,,
304,UFT.2014(L)7733,ANA.TAQ.001.036,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,-,+,-,-,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
305,UFT.2014(L)7734,ANA.TAQ.001.036,Fruto de Buriti,Palmas,TO,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,w,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,-,-,+,+
306,UFT.2014(L)7872,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,w,-,w,+,-,-,+,-,-,-,-,-,+,+,-,+,-,,-,+,w,-,-,-,-,-,-,-,-,-,w,-,-,-,,,,-,w,-,+,,,-,-,+,+,-,,+,-,,,,,
307,UFT.2014(L)7873,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,+,w,+,,w,+,+,w,-,-,-,+,-,+,w,,+,-,+,w,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,+,-,+,+,+,,+,+,,,,,
308,UFT.2014(L)7876,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,-,+,-,-,-,-,-,-,-,-,,-,+,-,-,-,-,-,+,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
309,UFT.2014(L)7877,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,w,+,-,,+,-,+,+,+,+,+,+,-,-,-,-,-,-,-,+,-,+,,,+,-,+,+,+,,-,-,,,,,
310,UFT.2014(L)7878,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
311,UFT.2014(L)7977,ANA.TAQ.001.038,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,-,w,+,,-,+,-,-,+,-,-,+,-,+,-,,+,-,+,+,-,+,+,-,+,-,-,-,-,-,-,+,+,+,,,+,+,+,+,+,,-,-,,,,,
312,UFT.2014(L)7910,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,-,+,-,-,-,-,-,-,-,-,-,w,-,+,-,,w,-,-,w,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,-,-,-
313,UFT.2014(L)6732,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
314,UFT.2014(L)6754,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,+,+,w,w,+,+,-,+,+,,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
315,UFT.2014(L)6761,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,-,-,-,,-,-,-,-,-,-,,-,+,+,-,-,-,-,+,-,+,-,,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,w,+,+,,,-,-,+,+,+,,+,+,,,,,
316,UFT.2014(L)6784,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,+,+,-,-,,-,-,+,-,-,+,+,w,-,-,,+,-,+,w,+,+,-,+,+,-,+,+,-,-,-,-,,,,-,+,+,+,,,-,-,+,+,-,,+,+,,,,,
317,UFT.2014(L)6872,ANA.CAN.001.038,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,w,+,+,w,+,w,,+,-,+,+,+,+,+,+,-,w,+,+,-,-,w,+,w,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
318,UFT.2014(L)7159,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,w,+,+,+,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,-,+,,,-,-,+,+,-,,-,-,,,,,
319,UFT.2014(L)7248,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,-,+,-,-,+,-,-,+,+,w,-,-,,+,-,+,-,+,+,w,+,+,-,+,+,-,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,,-,-,,,,,
320,UFT.2014(L)7272,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,-,w,,+,-,+,w,+,+,+,+,w,w,+,+,-,-,+,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
321,UFT.2014(L)7359,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,-,,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,-,-,-,+,+,-,-,-
322,UFT.2014(L)7735,ANA.TAQ.001.039,Fruto de Buriti,Palmas,TO,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,,,-,-,,,-,-,+,+,-,,-,-,,,,,
323,UFT.2014(L)7737,ANA.TAQ.001.039,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,w,+,-,-,+,+,-,+,-,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,w,+,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,-,-,+,-,-,-
324,UFT.2014(L)7738,ANA.TAQ.001.039,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,-,-,+,w,-,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,w,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
325,UFT.2014(L)7980,ANA.TAQ.001.040,Fruto de Buriti,Palmas,TO,,+,-,-,+,-,w,-,-,w,-,-,-,+,+,-,w,-,,+,-,-,w,-,-,-,-,+,+,+,+,-,-,+,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,-,-
326,UFT.2014(L)8027,ANA.TAQ.001.041,Fruto de Buriti,Palmas,TO,,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
327,UFT.2014(L)7880,ANA.TAQ.001.042,Fruto de Buriti,Palmas,TO,,-,+,-,,-,-,-,-,-,-,,-,w,-,-,-,+,-,w,-,-,-,,-,-,+,-,-,+,w,-,-,-,-,-,-,-,-,w,-,+,,,-,-,+,+,+,,-,-,,,,,
328,UFT.2014(L)7881,ANA.TAQ.001.042,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,w,-,w,+,,-,+,+,+,+,-,-,+,w,+,+,,+,-,-,+,-,+,+,+,-,-,-,-,-,-,+,w,-,+,,,+,+,+,+,+,,+,-,,,,,
329,UFT.2014(L)7882,ANA.TAQ.001.042,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,w,w,-,,+,-,+,+,+,+,+,+,+,w,+,+,-,-,+,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,+,-,+,-
330,UFT.2014(L)6578,ANA.CAN.001.039,Fruto de Buriti,Pium,TO,,+,+,+,+,+,-,+,-,-,+,-,-,+,+,w,-,+,,w,-,+,-,+,-,-,+,+,-,+,+,-,-,-,-,,,,-,+,-,+,,,-,-,+,+,-,,-,-,,,,,
331,UFT.2014(L)6581,ANA.CAN.001.039,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,-,+,+,,-,+,+,+,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,-,+,,,-,-,+,+,-,,-,-,,,,,
332,UFT.2014(L)6706,ANA.CAN.001.039,Fruto de Buriti,Pium,TO,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,w,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,-,-,+,+
333,UFT.2014(L)7784,ANA.CAN.001.039,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
334,UFT.2014(L)6742,ANA.CAN.001.040,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,+,-
335,UFT.2014(L)6837,ANA.CAN.001.040,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,,,+,-,w,+,w,-,-,-,,+,-,+,-,+,+,+,+,+,w,+,+,-,-,-,+,-,w,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
336,UFT.2014(L)6849,ANA.CAN.001.040,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,,+,+,+,+,+,+,+,+,+,-,+,-,+,+,w,+,+,-,-,+,+,-,+,,,+,+,+,+,-,+,-,-,-,+,-,-,-
337,UFT.2014(L)7236,ANA.TAG.001.020,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,w,+,-,,+,-,+,+,+,+,+,+,w,w,+,+,-,-,-,+,-,+,-,w,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
