id,ccr_codigo,outros
611,7700,1
478,6651,1
295,7973,1
558,7818b,1
123,7988,1
554,7525,1
274,6622,1
331,6581,1
289,7098,1
303,7258,1
285,6768,1
754,8079,1
561,7930,1
228,7765,1
132,7818,1
146,7358,1
630,7792,1
489,6833,1
231,7191,1
341,7887,1
390,7751,1
283,6702,1
242,7719,1
222,7961,1
423,7179,1
565,6824,1
590,7572,1
333,7784,1
434,8028,1
448,7501,1
592,7574,1
369,7383,1
493,6882,1
573,7533,1
544,8004,1
212,7558,1
593,7575,1
454,8002,1
517,7162,1
128,7847,1
503,7264,1
139,6893,1
707,8015,1
516,6895,1
299,6745,1
190,6950,1
371,7966,1
624,7713,1
436,6822,1
433,7997,1
512,6815,1
373,7748,1
262,7967,1
107,7271,1
458,6623,1
406,7995,1
158,7769,1
247,6607,1
627,7789,1
540,7813,1
261,7726,1
374,7749,1
345,7983,1
518,7257,1
196,7556,1
464,7787,1
463,7952,1
429,7772,1
315,6761,1
761,8085,1
414,7770,1
410,6747,1
142,7865,1
245,6585,1
570,7529,1
563,8022,1
483,7505,1
280,7806,1
311,7977,1
221,7958,1
412,7756,1
532,7832,1
469,7907,1
151,7543,1
157,6577,1
346,7984,1
126,7539,1
444,7099,1
457,7798,1
224,7844,1
400,7917,1
230,6996,1
329,7882,1
104,7777,1
127,7827,1
430,7773,1
327,7880,1
135,6717,1
421,7843,1
525,7812,1
340,7883,1
569,7278,1
531,7781,1
94,7391,1
365,6608,1
352,7157,1
313,6732,1
296,7974,1
420,6586,1
605,7594,1
308,7876,1
183,6881,1
401,7919,1
337,7236,1
236,7861,1
763,8087,1
424,7299,1
398,6614,1
547,7780,1
562,7931,1
386,7238,1
509,7923,1
318,7159,1
533,7834,1
287,6792,1
306,7872,1
467,7801,1
394,7897,1
100,7804,1
93,7390,1
265,7971,1
643,7914,1
397,6740,1
391,7752,1
326,8027,1
187,7281,1
465,7788,1
186,6978,1
736,8057,1
415,7898,1
258,7921,1
521,7513,1
259,7724,1
237,7871,1
91,7195,1
106,7845,1
155,7937,1
206,7989,1
629,7791,1
545,6807,1
475,7800,1
461,7916,1
305,7734,1
556,7527,1
342,7888,1
456,6726,1
137,6888,1
383,7328,1
541,816,1
500,7864,1
293,7729,1
564,6811,1
425,7301,1
324,7738,1
538,7057,1
120,6889,1
388,7252,1
320,7272,1
704,8012,1
479,7785,1
314,6754,1
409,7838,1
508,7519,1
332,6706,1
642,7913,1
498,7764,1
250,6793,1
130,7936,1
378,7892,1
252,6797,1
485,7520,1
173,7946,1
375,7750,1
275,7192,1
278,7398,1
105,7833,1
513,6885,1
86,6650,1
288,6870,1
392,7894,1
405,7993,1
437,6828,1
567,6883,1
185,7836,1
229,7951,1
138,6890,1
244,7965,1
730,8046,1
417,7900,1
468,7906,1
636,7874,1
422,6760,1
376,7890,1
353,7240,1
180,7941,1
101,6556,1
257,7365,1
597,7579,1
552,7199,1
510,7924,1
264,7970,1
134,6716,1
256,7355,1
634,7796,1
462,7918,1
177,7198,1
580,7562,1
82,6555,1
491,6649,1
384,7333,1
438,6566,1
235,7860,1
111,7823,1
208,7021,1
407,6564,1
449,7503,1
381,6615,1
176,7196,1
484,7507,1
161,7156,1
302,7249,1
143,7031,1
361,7987,1
175,7366,1
529,7775,1
506,7516,1
481,7869,1
379,7893,1
233,7589,1
179,7551,1
474,6626,1
523,7515,1
271,6645,1
165,7548,1
171,7766,1
466,7789,1
452,7809,1
160,6800,1
758,8083,1
476,6819,1
218,7857,1
172,7782,1
598,7580,1
372,7747,1
251,6796,1
502,7259,1
309,7877,1
163,7356,1
249,6782,1
428,7771,1
297,6591,1
97,7394,1
210,7364,1
546,7768,1
451,7808,1
119,6809,1
625,7787,1
188,7363,1
203,7957,1
323,7737,1
349,6846,1
343,7889,1
89,7945,1
537,7235,1
528,6901,1
519,7362,1
118,6545,1
526,7925,1
356,7954,1
615,7704,1
253,6867,1
144,7842,1
153,7849,1
557,7528,1
113,7825,1
487,8003,1
133,7870,1
496,6902,1
435,6536,1
298,6720,1
431,7902,1
181,6575,1
98,7802,1
358,7743,1
140,7052,1
189,7381,1
195,7555,1
125,7538,1
169,8024,1
199,7852,1
368,7160,1
359,7744,1
387,7251,1
762,8086,1
395,7991,1
459,6624,1
389,7962,1
351,7154,1
241,7353,1
117,6515,1
527,6820,1
490,7767,1
482,7260,1
267,8026,1
85,6648,1
595,7577,1
411,7054,1
470,7999,1
215,7854,1
447,7500,1
699,8007,1
238,7963,1
178,7550,1
322,7735,1
408,6598,1
460,6757,1
109,7536,1
560,7821,1
348,6610,1
200,7853,1
182,6725,1
631,7793,1
213,7587,1
617,7706,1
572,7532,1
745,8067,1
312,7910,1
149,7541,1
542,7817,1
170,6576,1
103,7774,1
522,7514,1
480,7839,1
399,6750,1
272,6705,1
360,7985,1
339,7739,1
446,7399,1
307,7873,1
588,7570,1
108,7535,1
201,7942,1
596,7578,1
495,6894,1
95,7392,1
193,7553,1
334,6742,1
576,7933,1
621,7710,1
432,7905,1
418,7901,1
232,7275,1
571,7531,1
594,7576,1
744,8065,1
553,7524,1
549,7269,1
550,7277,1
396,7332,1
402,7950,1
266,7972,1
114,7826,1
197,7557,1
364,7949,1
377,7891,1
87,7799,1
304,7733,1
112,7824,1
514,6886,1
227,7053,1
248,6737,1
366,6609,1
574,7534,1
234,7590,1
347,6571,1
145,7242,1
632,7794,1
116,7935,1
164,7547,1
301,7019,1
416,7899,1
555,7526,1
207,7006,1
419,7996,1
204,6594,1
192,7552,1
501,7868,1
363,6588,1
357,7742,1
310,7878,1
141,7862,1
492,6776,1
263,7969,1
92,7389,1
99,7803,1
325,7980,1
633,7795,1
370,7947,1
579,7561,1
131,8023,1
520,7512,1
148,7540,1
559,7819,1
566,6831,1
209,7189,1
393,7896,1
124,7188,1
404,7992,1
427,7200,1
319,7248,1
488,6539,1
575,7932,1
536,7904,1
477,6567,1
184,7835,1
174,7959,1
121,6944,1
551,7197,1
330,6578,1
442,7783,1
226,6887,1
504,7193,1
455,6647,1
568,7944,1
84,6948,1
129,7848,1
255,7254,1
240,6794,1
166,7549,1
336,6849,1
246,6606,1
217,7856,1
162,7266,1
167,7939,1
473,8029,1
219,7858,1
159,7776,1
338,7384,1
292,7268,1
426,7194,1
362,6982,1
316,6784,1
205,7846,1
380,7761,1
211,7382,1
328,7881,1
268,6808,1
270,6644,1
626,7788,1
216,7855,1
548,7909,1
403,7964,1
290,7153,1
505,7968,1
277,7397,1
355,7920,1
260,7725,1
202,7956,1
115,7934,1
90,7263,1
472,8001,1
471,8000,1
284,6746,1
530,7778,1
96,7393,1
515,6892,1
511,6554,1
486,7922,1
443,7867,1
317,6872,1
122,7779,1
83,6817,1
497,6942,1
445,7255,1
156,7938,1
453,7908,1
524,7811,1
354,7387,1
300,6753,1
269,6568,1
279,7805,1
286,6790,1
757,8082,1
154,7850,1
385,7953,1
294,7730,1
102,6891,1
450,7807,1
539,7508,1
150,7542,1
194,7554,1
534,7837,1
507,7517,1
152,7546,1
350,6986,1
191,6957,1
543,7928,1
321,7359,1
168,7940,1
281,6595,1
239,6584,1
344,7982,1
413,7760,1
220,7859,1
225,6795,1
499,7786,1
711,8019,1
223,6582,1
282,6700,1
382,6762,1
335,6837,1
147,7049,1
494,6884,1
214,7588,1
439,6580,1
276,7395,1
441,6593,1
198,7851,1
440,6587,1
243,7720,1
535,7841,1
136,6723,1
